Venue, latitude, longitude
Barclays Center, 40.68350417, -73.97661659
Gramercy Theatre, 40.73975368, -73.98501292
B.B. King Blues Club & Grill, 40.7567868, -73.9884479
Florence Gould Hall at FIAF, 40.76352361, -73.97084758
Gramercy Theatre, 40.73975368, -73.98501292
Florence Gould Hall at FIAF, 40.76352361, -73.97084758
The Paramount, 40.86969685, -73.42591099
Mohegan Sun Arena, 41.4915974, -72.0914563
B.B. King Blues Club & Grill, 40.7567868, -73.9884479
NYCB LIVE, Home of The Nassau Veterans Memorial Coliseum, 40.72302075, -73.59069438
New Jersey Performing Arts Center, 40.739502, -74.16809
Bergen Performing Arts Center, 40.895358, -73.97511
Gramercy Theatre, 40.73975368, -73.98501292
Prudential Center, 40.73340555, -74.17121214
Paramount Theatre, 40.22391324, -73.99894961
State Theatre, 40.49313654, -74.4444693
State Theatre, 40.49313654, -74.4444693
New Jersey Performing Arts Center, 40.739502, -74.16809
Bergen Performing Arts Center, 40.895358, -73.97511
State Theatre, 40.49313654, -74.4444693
Mohegan Sun Arena, 41.4915974, -72.0914563
NYCB Theatre at Westbury, 40.77517125, -73.56055321
New Jersey Performing Arts Center, 40.739502, -74.16809
New Jersey Performing Arts Center, 40.739502, -74.16809
Apollo Theater, 40.80986245, -73.95013312
B.B. King Blues Club & Grill, 40.7567868, -73.9884479
The Paramount, 40.86969685, -73.42591099
B.B. King Blues Club & Grill, 40.7567868, -73.9884479
Irving Plaza, 40.734917, -73.9884469
Apollo Theater, 40.80986245, -73.95013312
State Theatre, 40.49313654, -74.4444693
State Theatre, 40.49313654, -74.4444693
B.B. King Blues Club & Grill, 40.7567868, -73.9884479
Radio City Music Hall, 40.7599136, -73.9803981
Apollo Theater, 40.80986245, -73.95013312
Tilles Center - Hillwood Recital Hall, 40.8119256, -73.6197704
Kupferberg Center for the Arts, 40.738456, -73.816343
Pleasantville Music Festival, 41.129847, -73.79177
Madison Square Garden, 40.7497062, -73.9916006
Beacon Theatre, 40.779925, -73.980673
Beacon Theatre, 40.779925, -73.980673
SECRET LOCATION - TBA, NONE, NONE
Pianos NYC, 40.721108, -73.987751
Chappaqua Performing Arts Center, 41.180147, -73.755276
Highline Ballroom, 40.74306869, -74.00571442
Iridium, 40.7617954, -73.983269
Cutting Room, 40.74594151, -73.98285443
Mohegan Sun Uncas Ballroom, 41.4915974, -72.0914563
Daryl's House, 41.534016, -73.58438
Daryl's House, 41.534016, -73.58438
NYCB Theatre at Westbury, 40.77517125, -73.56055321
Madison Square Garden, 40.7497062, -73.9916006
Madison Square Garden, 40.7497062, -73.9916006
B.B. King Blues Club & Grill, 40.7567868, -73.9884479
B.B. King Blues Club & Grill, 40.7567868, -73.9884479
B.B. King Blues Club & Grill, 40.7567868, -73.9884479
B.B. King Blues Club & Grill, 40.7567868, -73.9884479
Madison Square Garden, 40.7497062, -73.9916006
Prudential Center, 40.73340555, -74.17121214
NYCB LIVE, Home of The Nassau Veterans Memorial Coliseum, 40.72302075, -73.59069438
Tilles Center Concert Hall, 40.8119256, -73.6197704
The Wellmont Theater, 40.8124988, -74.2165153
The Palace Theatre Albany, 42.654511, -73.750175
Madison Square Garden, 40.7497062, -73.9916006
Radio City Music Hall, 40.7599136, -73.9803981
Irving Plaza, 40.734917, -73.9884469
Madison Square Garden, 40.7497062, -73.9916006
Beacon Theatre, 40.779925, -73.980673
Beacon Theatre, 40.779925, -73.980673
The Fox Theater at Foxwoods Resort Casino, 41.4489233, -71.975699
Madison Square Garden, 40.7497062, -73.9916006
Madison Square Garden, 40.7497062, -73.9916006
Madison Square Garden, 40.7497062, -73.9916006
MetLife Stadium, 40.81393312, -74.07444122
Radio City Music Hall, 40.7599136, -73.9803981
Madison Square Garden, 40.7497062, -73.9916006
Radio City Music Hall, 40.7599136, -73.9803981
Radio City Music Hall, 40.7599136, -73.9803981
Prudential Center, 40.73340555, -74.17121214
Radio City Music Hall, 40.7599136, -73.9803981
Radio City Music Hall, 40.7599136, -73.9803981
Prudential Center, 40.73340555, -74.17121214
Radio City Music Hall, 40.7599136, -73.9803981
Radio City Music Hall, 40.7599136, -73.9803981
Madison Square Garden, 40.7497062, -73.9916006
Mohegan Sun Arena, 41.4915974, -72.0914563
The Theater Center, 40.76161629, -73.98448955
Radio City Music Hall, 40.7599136, -73.9803981
The Theater Center, 40.76161629, -73.98448955
The Theater Center, 40.76161629, -73.98448955
Radio City Music Hall, 40.7599136, -73.9803981
Radio City Music Hall, 40.7599136, -73.9803981
Radio City Music Hall, 40.7599136, -73.9803981
Radio City Music Hall, 40.7599136, -73.9803981
The Theater Center, 40.76161629, -73.98448955
The Theater Center, 40.76161629, -73.98448955
Radio City Music Hall, 40.7599136, -73.9803981
Beacon Theatre, 40.779925, -73.980673
Radio City Music Hall, 40.7599136, -73.9803981
Radio City Music Hall, 40.7599136, -73.9803981
None, 40.74033560000001, -73.99518590000002
Brooklyn, 40.6826452, -73.97676860000001
The Cutting Room, 40.7459751, -73.9829183
Korzo, 40.6619916, -73.99240270000001
Symphony Space, 40.793912, -73.97275990000003
Yonkers, NY, 40.955358, -73.86353099999997
Calvary Church, 40.7651005, -73.97837470000002
Membership Registration, 40.7143528, -74.0059731
The Manhattan School of Music, 40.8123904, -73.96148169999998
The Westin New York at Times Square, 40.75762400000001, -73.989125
Harlem Nights, 40.81721750000001, -73.94200189999998
TBD, 40.7605367, -73.97889029999999
The Attic Rooftop & Lounge, 40.761071, -73.986719
Advent Lutheran Church, 40.7926923, -73.97269240000003
Brooklyn Music School, 40.686152, -73.977326
Asbury Crestwood United Methodist Church, 40.957094, -73.83124700000002
Adelphi Performing Art Center, 40.7187721, -73.6517857
Ephesus Seventh-day Adventist Church, 40.8067987, -73.94668250000001
Bizarre, 40.69735790000001, -73.93470359999998
Music Makers NY @ Smash Studios, 40.755322, -73.9932872
Boomset HQ, 40.75528329999999, -73.98548069999998
Broadway Comedy Club, 40.7644275, -73.9855958
Sheepshead Bay Public Library, 40.58702389999999, -73.95539400000001
Satya Narayan Mandir, 40.743489, -73.8890968
New York, 40.7590169, -73.98669769999998
(Le) Poisson Rouge, 40.72850220000001, -74.0000425
(Le) Poisson Rouge, 40.72850220000001, -74.0000425
Alfred P. Gross Theatre, 40.893729, -73.898124
(Le) Poisson Rouge, 40.72850220000001, -74.0000425
New York 226 W 46th St New York, NY 10036, 40.7127837, -74.00594130000002
(Le) Poisson Rouge, 40.72850220000001, -74.0000425
(Le) Poisson Rouge, 40.72850220000001, -74.0000425
(Le) Poisson Rouge, 40.72850220000001, -74.0000425
Unknown venue as yet, 40.7, -74.0
(Le) Poisson Rouge, 40.72850220000001, -74.0000425
(Le) Poisson Rouge, 40.72850220000001, -74.0000425
(Le) Poisson Rouge, 40.72850220000001, -74.0000425
(Le) Poisson Rouge, 40.72850220000001, -74.0000425
Lyric Performing Arts Center, 40.79341949999999, -74.23262399999999
(Le) Poisson Rouge, 40.72850220000001, -74.0000425
(Le) Poisson Rouge, 40.72850220000001, -74.0000425
(Le) Poisson Rouge, 40.72850220000001, -74.0000425
(Le) Poisson Rouge, 40.72850220000001, -74.0000425
(Le) Poisson Rouge, 40.72850220000001, -74.0000425
CAVEAT, 40.7206709, -73.9844567
(Le) Poisson Rouge, 40.72850220000001, -74.0000425
(Le) Poisson Rouge, 40.72850220000001, -74.0000425
(Le) Poisson Rouge, 40.72850220000001, -74.0000425
(Le) Poisson Rouge, 40.72850220000001, -74.0000425
(Le) Poisson Rouge, 40.72850220000001, -74.0000425
